Timestamp,Year,Month,Day,Hour Ending,Maximum energy deliverable before curtailment (MWh),Energy actually delivered (MWh),Curtailment (MWh),Price ($/MWh) at the nodal level in the Real Time market
1/1/2023 1:00,2023,1,1,1,145.1,65.1,80,12.22
1/1/2023 2:00,2023,1,1,2,140.6,60.6,80,9.04
1/1/2023 3:00,2023,1,1,3,38.7,38.7,0,17.98
1/1/2023 4:00,2023,1,1,4,41.5,41.5,0,15.79
1/1/2023 5:00,2023,1,1,5,124.4,44.4,80,13.84
1/1/2023 6:00,2023,1,1,6,142.5,62.5,80,15.1
1/1/2023 7:00,2023,1,1,7,71.1,71.1,0,18.8
1/1/2023 8:00,2023,1,1,8,50.2,50.2,0,18.82
1/1/2023 9:00,2023,1,1,9,47.3,47.3,0,21.29
1/1/2023 10:00,2023,1,1,10,47.9,47.9,0,21.72
1/1/2023 11:00,2023,1,1,11,56.6,56.6,0,21.48
1/1/2023 12:00,2023,1,1,12,63,63,0,21.7
1/1/2023 13:00,2023,1,1,13,75.9,75.9,0,23.39
1/1/2023 14:00,2023,1,1,14,32.6,32.6,0,23.16
1/1/2023 15:00,2023,1,1,15,8.5,8.5,0,23.36
1/1/2023 16:00,2023,1,1,16,4.9,4.9,0,25.06
1/1/2023 17:00,2023,1,1,17,16.9,16.9,0,30.62
1/1/2023 18:00,2023,1,1,18,20.3,20.3,0,30.81
1/1/2023 19:00,2023,1,1,19,17.9,17.9,0,33.11
1/1/2023 20:00,2023,1,1,20,10.9,10.9,0,25.38
1/1/2023 21:00,2023,1,1,21,3.9,3.9,0,34.36
1/1/2023 22:00,2023,1,1,22,2.8,2.8,0,23.87
1/1/2023 23:00,2023,1,1,23,6.4,6.4,0,24.67
1/2/2023 0:00,2023,1,1,24,13,13,0,22.48
1/2/2023 1:00,2023,1,2,1,5.5,5.5,0,21.72
1/2/2023 2:00,2023,1,2,2,1.5,1.5,0,19.48
1/2/2023 3:00,2023,1,2,3,4.9,4.9,0,21.06
1/2/2023 4:00,2023,1,2,4,2.2,2.2,0,20.68
1/2/2023 5:00,2023,1,2,5,0,0,0,25.15
1/2/2023 6:00,2023,1,2,6,0.1,0.1,0,55.98
1/2/2023 7:00,2023,1,2,7,5.2,5.2,0,27.81
1/2/2023 8:00,2023,1,2,8,0,0,0,25.92
