Timestamp,Year,Month,Day,Hour Ending,Maximum energy deliverable before curtailment (MWh),Energy actually delivered (MWh),Curtailment (MWh),Price ($/MWh) at the nodal level in the Real Time market
1/1/2023 1:00,2023,1,1,1,52.7,52.7,0,25.93
1/1/2023 2:00,2023,1,1,2,41.1,41.1,0,21.98
1/1/2023 3:00,2023,1,1,3,39.6,39.6,0,23.3
1/1/2023 4:00,2023,1,1,4,43.2,43.2,0,21.4
1/1/2023 5:00,2023,1,1,5,34.8,34.8,0,22.16
1/1/2023 6:00,2023,1,1,6,65.3,65.3,0,21.32
1/1/2023 7:00,2023,1,1,7,109,91,18,18.64
1/1/2023 8:00,2023,1,1,8,67.5,49.5,18,18.81
1/1/2023 9:00,2023,1,1,9,65.9,47.9,18,18.17
1/1/2023 10:00,2023,1,1,10,44.3,26.3,18,16.68
1/1/2023 11:00,2023,1,1,11,28.7,10.7,18,17.76
1/1/2023 12:00,2023,1,1,12,21,3,18,17.24
1/1/2023 13:00,2023,1,1,13,18.8,0.8,18,20.03
1/1/2023 14:00,2023,1,1,14,18,0,18,20.09
1/1/2023 15:00,2023,1,1,15,0,0,0,23.43
1/1/2023 16:00,2023,1,1,16,0,0,0,22.98
1/1/2023 17:00,2023,1,1,17,0,0,0,25.41
1/1/2023 18:00,2023,1,1,18,0,0,0,25.26
1/1/2023 19:00,2023,1,1,19,0,0,0,24.97
1/1/2023 20:00,2023,1,1,20,0,0,0,25.19
1/1/2023 21:00,2023,1,1,21,0,0,0,26.81
1/1/2023 22:00,2023,1,1,22,0,0,0,26.43
1/1/2023 23:00,2023,1,1,23,0,0,0,34.7
1/2/2023 0:00,2023,1,1,24,0,0,0,32.56
1/2/2023 1:00,2023,1,2,1,0,0,0,32.55
1/2/2023 2:00,2023,1,2,2,0.2,0.2,0,26.62
1/2/2023 3:00,2023,1,2,3,3.8,3.8,0,33.8
1/2/2023 4:00,2023,1,2,4,5,5,0,25.65
1/2/2023 5:00,2023,1,2,5,0.1,0.1,0,25.73
1/2/2023 6:00,2023,1,2,6,0,0,0,22.54
1/2/2023 7:00,2023,1,2,7,0,0,0,21.91
1/2/2023 8:00,2023,1,2,8,0,0,0,20.6
1/2/2023 9:00,2023,1,2,9,0,0,0,21.79
1/2/2023 10:00,2023,1,2,10,3.1,3.1,0,22.63
1/2/2023 11:00,2023,1,2,11,0,0,0,26.72
1/2/2023 12:00,2023,1,2,12,0,0,0,53.31
1/2/2023 13:00,2023,1,2,13,0,0,0,28.91
1/2/2023 14:00,2023,1,2,14,0,0,0,25.16
1/2/2023 15:00,2023,1,2,15,2.5,2.5,0,25.82
1/2/2023 16:00,2023,1,2,16,7.9,7.9,0,48.52
1/2/2023 17:00,2023,1,2,17,16.9,16.9,0,33.61
1/2/2023 18:00,2023,1,2,18,22.7,22.7,0,39.98
1/2/2023 19:00,2023,1,2,19,14.3,14.3,0,32.21
1/2/2023 20:00,2023,1,2,20,13.4,13.4,0,29.65
1/2/2023 21:00,2023,1,2,21,29.6,29.6,0,27.09
1/2/2023 22:00,2023,1,2,22,44.5,44.5,0,30.66
1/2/2023 23:00,2023,1,2,23,41.2,41.2,0,26.46
1/3/2023 0:00,2023,1,2,24,36.2,36.2,0,28.78
1/3/2023 1:00,2023,1,3,1,56.7,56.7,0,29.02
1/3/2023 2:00,2023,1,3,2,75.7,75.7,0,26.73
1/3/2023 3:00,2023,1,3,3,96.2,78.2,18,18.33
1/3/2023 4:00,2023,1,3,4,93.7,75.7,18,14.59
1/3/2023 5:00,2023,1,3,5,85.7,67.7,18,19.38
1/3/2023 6:00,2023,1,3,6,108.9,90.9,18,18.99
1/3/2023 7:00,2023,1,3,7,123.1,105.1,18,18.18
1/3/2023 8:00,2023,1,3,8,126.8,108.8,18,17.77
1/3/2023 9:00,2023,1,3,9,103.2,85.2,18,17.9
1/3/2023 10:00,2023,1,3,10,45.2,27.2,18,14.68
1/3/2023 11:00,2023,1,3,11,47.6,29.6,18,17.89
1/3/2023 12:00,2023,1,3,12,41.1,41.1,0,22.81
1/3/2023 13:00,2023,1,3,13,41.4,41.4,0,29.97
1/3/2023 14:00,2023,1,3,14,24.5,24.5,0,26.62
1/3/2023 15:00,2023,1,3,15,9.7,9.7,0,32.23
1/3/2023 16:00,2023,1,3,16,0.7,0.7,0,31.22
1/3/2023 17:00,2023,1,3,17,0,0,0,27.63
1/3/2023 18:00,2023,1,3,18,0,0,0,28.46
1/3/2023 19:00,2023,1,3,19,0,0,0,34.05
1/3/2023 20:00,2023,1,3,20,0,0,0,31.86
1/3/2023 21:00,2023,1,3,21,0,0,0,28.45
1/3/2023 22:00,2023,1,3,22,0,0,0,32
1/3/2023 23:00,2023,1,3,23,0,0,0,56.42
1/4/2023 0:00,2023,1,3,24,0,0,0,41.99
1/4/2023 1:00,2023,1,4,1,0,0,0,30.04
1/4/2023 2:00,2023,1,4,2,0,0,0,29.02
1/4/2023 3:00,2023,1,4,3,0,0,0,25.82
1/4/2023 4:00,2023,1,4,4,0,0,0,23.41
