Timestamp,Year,Month,Day,Hour Ending,Maximum energy deliverable before curtailment (MWh),Energy actually delivered (MWh),Curtailment (MWh),Price ($/MWh) at the nodal level in the Real Time market
1/1/2023 1:00,2023,1,1,1,2,0,2,26.25
1/1/2023 2:00,2023,1,1,2,2,0,2,22.76
1/1/2023 3:00,2023,1,1,3,2,0,2,21.94
1/1/2023 4:00,2023,1,1,4,2,0,2,24.14
1/1/2023 5:00,2023,1,1,5,2,0,2,23.14
1/1/2023 6:00,2023,1,1,6,2,0,2,21.25
1/1/2023 7:00,2023,1,1,7,2,0,2,20.97
1/1/2023 8:00,2023,1,1,8,2,0,2,19.28
1/1/2023 9:00,2023,1,1,9,6.2,4.2,2,21.38
1/1/2023 10:00,2023,1,1,10,2,0,2,20.7
1/1/2023 11:00,2023,1,1,11,2,0,2,20.26
1/1/2023 12:00,2023,1,1,12,2,0,2,21.26
1/1/2023 13:00,2023,1,1,13,2,0,2,22.33
1/1/2023 14:00,2023,1,1,14,2,0,2,22.03
1/1/2023 15:00,2023,1,1,15,2,0,2,20.64
1/1/2023 16:00,2023,1,1,16,2,0,2,18.16
1/1/2023 17:00,2023,1,1,17,2,0,2,20.09
1/1/2023 18:00,2023,1,1,18,2,0,2,20.62
1/1/2023 19:00,2023,1,1,19,2,0,2,21.34
1/1/2023 20:00,2023,1,1,20,2,0,2,21.34
1/1/2023 21:00,2023,1,1,21,2,0,2,19.07
1/1/2023 22:00,2023,1,1,22,2,0,2,22.91
1/1/2023 23:00,2023,1,1,23,0,0,0,30.23
1/2/2023 0:00,2023,1,1,24,0,0,0,29.86
1/2/2023 1:00,2023,1,2,1,2,0,2,27.31
1/2/2023 2:00,2023,1,2,2,0,0,0,28.5
1/2/2023 3:00,2023,1,2,3,2.6,0.6,2,23.45
1/2/2023 4:00,2023,1,2,4,3.5,3.5,0,32.23
1/2/2023 5:00,2023,1,2,5,4.5,2.5,2,21.46
1/2/2023 6:00,2023,1,2,6,3.1,1.1,2,22.6
1/2/2023 7:00,2023,1,2,7,2,0,2,22.04
1/2/2023 8:00,2023,1,2,8,2,0,2,20.81
1/2/2023 9:00,2023,1,2,9,2,0,2,19.63
1/2/2023 10:00,2023,1,2,10,2,0,2,21.75
1/2/2023 11:00,2023,1,2,11,2,0,2,23.11
1/2/2023 12:00,2023,1,2,12,0,0,0,28.8
1/2/2023 13:00,2023,1,2,13,0,0,0,35.43
1/2/2023 14:00,2023,1,2,14,2.1,2.1,0,28.07
1/2/2023 15:00,2023,1,2,15,3.4,1.4,2,25.39
1/2/2023 16:00,2023,1,2,16,0,0,0,40.17
1/2/2023 17:00,2023,1,2,17,0,0,0,33.79
1/2/2023 18:00,2023,1,2,18,0,0,0,42.44
1/2/2023 19:00,2023,1,2,19,0,0,0,42.85
1/2/2023 20:00,2023,1,2,20,0,0,0,35.46
1/2/2023 21:00,2023,1,2,21,0,0,0,34.75
1/2/2023 22:00,2023,1,2,22,0,0,0,35.87
1/2/2023 23:00,2023,1,2,23,0,0,0,41.9
1/3/2023 0:00,2023,1,2,24,0,0,0,31.93
1/3/2023 1:00,2023,1,3,1,0,0,0,48.3
1/3/2023 2:00,2023,1,3,2,0,0,0,35.11
1/3/2023 3:00,2023,1,3,3,2,0,2,25.83
1/3/2023 4:00,2023,1,3,4,0,0,0,28.16
1/3/2023 5:00,2023,1,3,5,2,0,2,23.3
1/3/2023 6:00,2023,1,3,6,2,0,2,20.39
1/3/2023 7:00,2023,1,3,7,2,0,2,22.27
1/3/2023 8:00,2023,1,3,8,2,0,2,20.52
1/3/2023 9:00,2023,1,3,9,2,0,2,20.8
1/3/2023 10:00,2023,1,3,10,2,0,2,21.66
1/3/2023 11:00,2023,1,3,11,2,0,2,23.83
1/3/2023 12:00,2023,1,3,12,0,0,0,36.14
1/3/2023 13:00,2023,1,3,13,0,0,0,41.76
1/3/2023 14:00,2023,1,3,14,0,0,0,37.6
