Timestamp,Year,Month,Day,Hour Ending,Maximum energy deliverable before curtailment (MWh),Energy actually delivered (MWh),Curtailment (MWh),Price ($/MWh) at the nodal level in the Real Time market
1/1/2023 1:00,2023,1,1,1,151.3,151.3,0,25.62
1/1/2023 2:00,2023,1,1,2,115.2,115.2,0,22.88
1/1/2023 3:00,2023,1,1,3,86.2,86.2,0,23.57
1/1/2023 4:00,2023,1,1,4,74.9,74.9,0,22.98
1/1/2023 5:00,2023,1,1,5,66.3,66.3,0,23.16
1/1/2023 6:00,2023,1,1,6,60.6,60.6,0,21.26
1/1/2023 7:00,2023,1,1,7,67.8,67.8,0,20.27
1/1/2023 8:00,2023,1,1,8,37.5,37.5,0,20.3
1/1/2023 9:00,2023,1,1,9,13.7,13.7,0,20.44
1/1/2023 10:00,2023,1,1,10,7.1,7.1,0,20.35
1/1/2023 11:00,2023,1,1,11,11.6,11.6,0,19.5
1/1/2023 12:00,2023,1,1,12,2.3,2.3,0,19.55
1/1/2023 13:00,2023,1,1,13,0,0,0,22.57
1/1/2023 14:00,2023,1,1,14,0,0,0,23.32
1/1/2023 15:00,2023,1,1,15,0,0,0,22.58
1/1/2023 16:00,2023,1,1,16,0,0,0,17.47
1/1/2023 17:00,2023,1,1,17,0,0,0,19.88
1/1/2023 18:00,2023,1,1,18,0,0,0,22.83
1/1/2023 19:00,2023,1,1,19,0,0,0,22.37
1/1/2023 20:00,2023,1,1,20,0,0,0,22.03
1/1/2023 21:00,2023,1,1,21,0,0,0,22.51
1/1/2023 22:00,2023,1,1,22,0,0,0,23.85
1/1/2023 23:00,2023,1,1,23,0,0,0,32.26
1/2/2023 0:00,2023,1,1,24,0,0,0,30.57
1/2/2023 1:00,2023,1,2,1,0,0,0,29.71
1/2/2023 2:00,2023,1,2,2,3.5,3.5,0,30.42
1/2/2023 3:00,2023,1,2,3,7.4,7.4,0,23.22
1/2/2023 4:00,2023,1,2,4,18.4,18.4,0,34.35
1/2/2023 5:00,2023,1,2,5,12,12,0,24.57
1/2/2023 6:00,2023,1,2,6,16.4,16.4,0,23.62
1/2/2023 7:00,2023,1,2,7,24.1,24.1,0,21.72
1/2/2023 8:00,2023,1,2,8,18.7,18.7,0,21.71
1/2/2023 9:00,2023,1,2,9,15.2,15.2,0,21.74
1/2/2023 10:00,2023,1,2,10,12.9,12.9,0,22.31
1/2/2023 11:00,2023,1,2,11,9.6,9.6,0,25.49
1/2/2023 12:00,2023,1,2,12,8.2,8.2,0,29.96
1/2/2023 13:00,2023,1,2,13,0.3,0.3,0,38.25
1/2/2023 14:00,2023,1,2,14,1.9,1.9,0,28.69
1/2/2023 15:00,2023,1,2,15,6.8,6.8,0,27.49
1/2/2023 16:00,2023,1,2,16,19.8,19.8,0,39.89
1/2/2023 17:00,2023,1,2,17,34.4,34.4,0,34.92
1/2/2023 18:00,2023,1,2,18,36.2,36.2,0,42.32
1/2/2023 19:00,2023,1,2,19,55.3,55.3,0,40.85
1/2/2023 20:00,2023,1,2,20,56.5,56.5,0,32.76
1/2/2023 21:00,2023,1,2,21,57.5,57.5,0,36.22
1/2/2023 22:00,2023,1,2,22,69.3,69.3,0,32.22
1/2/2023 23:00,2023,1,2,23,94.2,94.2,0,40.08
1/3/2023 0:00,2023,1,2,24,81.1,81.1,0,33.14
1/3/2023 1:00,2023,1,3,1,52.5,52.5,0,50.58
1/3/2023 2:00,2023,1,3,2,42.9,42.9,0,37.15
1/3/2023 3:00,2023,1,3,3,77,77,0,26.51
1/3/2023 4:00,2023,1,3,4,85.7,85.7,0,27.1
1/3/2023 5:00,2023,1,3,5,48.4,48.4,0,23.13
1/3/2023 6:00,2023,1,3,6,47.6,47.6,0,19.22
1/3/2023 7:00,2023,1,3,7,46.1,46.1,0,20.87
1/3/2023 8:00,2023,1,3,8,35.5,35.5,0,21.08
1/3/2023 9:00,2023,1,3,9,19.1,19.1,0,21.1
1/3/2023 10:00,2023,1,3,10,28.2,28.2,0,20.87
1/3/2023 11:00,2023,1,3,11,21.4,21.4,0,22.51
1/3/2023 12:00,2023,1,3,12,29.1,29.1,0,34.27
1/3/2023 13:00,2023,1,3,13,30.7,30.7,0,41.34
1/3/2023 14:00,2023,1,3,14,98.3,98.3,0,37.93
1/3/2023 15:00,2023,1,3,15,50.6,50.6,0,43.65
1/3/2023 16:00,2023,1,3,16,32.7,32.7,0,39.34
1/3/2023 17:00,2023,1,3,17,45.7,45.7,0,41.02
1/3/2023 18:00,2023,1,3,18,47.1,47.1,0,30.68
1/3/2023 19:00,2023,1,3,19,107,107,0,40.14
1/3/2023 20:00,2023,1,3,20,137.6,137.6,0,28.56
1/3/2023 21:00,2023,1,3,21,158.5,158.5,0,39.19
